raw_venue,canonical_venue
Arun Jaitley Stadium,Arun Jaitley Stadium
"Arun Jaitley Stadium, Delhi",Arun Jaitley Stadium
Brabourne Stadium,Brabourne Stadium
"Brabourne Stadium, Mumbai",Brabourne Stadium
Dr DY Patil Sports Academy,Dr DY Patil Sports Academy
"Dr DY Patil Sports Academy, Mumbai",Dr DY Patil Sports Academy
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
Eden Gardens,Eden Gardens
"Eden Gardens, Kolkata",Eden Gardens
Himachal Pradesh Cricket Association Stadium,Himachal Pradesh Cricket Association Stadium
"Himachal Pradesh Cricket Association Stadium, Dharamsala",Himachal Pradesh Cricket Association Stadium
M Chinnaswamy Stadium,M Chinnaswamy Stadium
M.Chinnaswamy Stadium,M Chinnaswamy Stadium
"M Chinnaswamy Stadium, Bengaluru",M Chinnaswamy Stadium
MA Chidambaram Stadium,MA Chidambaram Stadium
"MA Chidambaram Stadium, Chepauk",MA Chidambaram Stadium
"MA Chidambaram Stadium, Chepauk, Chennai",MA Chidambaram Stadium
Maharashtra Cricket Association Stadium,Maharashtra Cricket Association Stadium
"Maharashtra Cricket Association Stadium, Pune",Maharashtra Cricket Association Stadium
Punjab Cricket Association IS Bindra Stadium,Punjab Cricket Association IS Bindra Stadium
"Punjab Cricket Association IS Bindra Stadium, Mohali",Punjab Cricket Association IS Bindra Stadium
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Punjab Cricket Association IS Bindra Stadium
"Punjab Cricket Association Stadium, Mohali",Punjab Cricket Association IS Bindra Stadium
Rajiv Gandhi International Stadium,Rajiv Gandhi International Stadium
"Rajiv Gandhi International Stadium, Uppal",Rajiv Gandhi International Stadium
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Rajiv Gandhi International Stadium
Sawai Mansingh Stadium,Sawai Mansingh Stadium
"Sawai Mansingh Stadium, Jaipur",Sawai Mansingh Stadium
Shaheed Veer Narayan Singh International Stadium,Shaheed Veer Narayan Singh International Stadium
"Shaheed Veer Narayan Singh International Stadium, Raipur",Shaheed Veer Narayan Singh International Stadium
Wankhede Stadium,Wankhede Stadium
"Wankhede Stadium, Mumbai",Wankhede Stadium
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Maharaja Yadavindra Singh International Cricket Stadium
"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",Maharaja Yadavindra Singh International Cricket Stadium
"Narendra Modi Stadium, Ahmedabad",Narendra Modi Stadium
"Vidarbha Cricket Association Stadium, Jamtha",Vidarbha Cricket Association Stadium
"Zayed Cricket Stadium, Abu Dhabi",Zayed Cricket Stadium
